Geneid	RNA STAR on data 13, data 28, and data 27: mapped.bam
TRNP	498
TRNT	3
CYTB	23600
TRNE	3
ND6	13534
ND5	12978
TRNL2	5
TRNS2	0
TRNH	1
ND4	43057
ND4L	2361
TRNR	2
ND3	15082
TRNG	1
COX3	30147
ATP6	19392
ATP8	1490
TRNK	12
COX2	36395
TRND	2
TRNS1	0
COX1	50030
TRNY	8
TRNC	242
TRNN	182
TRNA	0
TRNW	0
ND2	26836
TRNM	0
TRNQ	0
TRNI	0
ND1	20093
TRNL1	10
RNR2	82465
TRNV	1
RNR1	20370
TRNF	6
LILRP2	0
KIR3DL3	0
KIR2DS2	0
KIR2DL2	0
KIR2DL4	0
KIR3DS1	0
KIR2DL5A	2
KIR2DS5	0
KIR2DS1	0
KIR3DL2	0
KIR2DL3	0
KIR2DP1	0
LOC101928804	0
KIR2DL1	0
KIR3DP1	0
KIR3DL1	0
KIR2DS4	0
KIR2DL5B	0
RNU6-222P	0
NCR1	0
FCAR	1
LOC102725023	0
KIR2DS3	0
EPS8L1	178
RDH13	1
GP6	0
GP6-AS1	0
RPL36AP50	0
NLRP2	5
NLRP7	8
LILRP1	0
LOC102724290	0
LILRB4	4
VN1R105P	0
MIR8061	0
LILRB1	3
LILRA1	0
LILRA2	3
LOC105372461	0
LOC107985347	0
KIR3DX1	26
LOC105372460	0
LAIR2	0
CDC42EP5	1
LENG9	0
LENG8	1
LENG8-AS1	0
TTYH1	2
LAIR1	28
LILRA4	0
VN1R104P	0
LILRA5	5
LILRA3	0
MIR4752	0
LILRB2	2
LOC100420187	0
LILRB5	1
LOC107987463	0
LILRA6	3
LOC100421130	21
LOC107987462	0
RPS9	48
TSEN34	3
MBOAT7	4
TMC4	8
LENG1	0
LOC102724273	0
CNOT3	10
PRPF31	6
TFPT	6
NDUFA3	2
OSCAR	24
TARM1	1
VSTM1	0
LOC107987461	0
HCG23	0
BTNL2	0
TSBP1-AS1	2
HLA-DRA	1468
LOC102725035	6
LOC112268246	0
ZBTB9	0
MIR5004	0
SYNGAP1	1
CUTA	0
PHF1	44
RPL12P1	0
KIFC1	1
SMIM40	0
RPS18	1
VPS52	5
HCG25	0
LOC105375022	0
ZNF70P1	0
COL11A2	1
HLA-DPB2	0
COL11A2P1	0
HLA-DPA2	0
RPL32P1	1
HLA-DPB1	79
HLA-DPA1	0
HLA-DOA	28
BRD2	37
HLA-DMA	36
HLA-DMB	29
HLA-Z	0
LOC100294145	0
PPP1R2P1	1
PSMB9	7
TAP1	1
PSMB8-AS1	0
PSMB8	0
TAP2	31
HLA-DOB	6
HLA-DQB2	4
MIR3135B	0
HLA-DQA2	1
LOC102725019	0
HLA-DQB1	3717
HLA-DQA1	1615
LOC107987459	0
HLA-DRB1	8688
FAM8A5P	0
HLA-DRB7	3
LOC100294316	0
PRKRAP1	3
HLA-DRB8	7
HLA-DRB4	30
HLA-DRB9	0
RNU6-603P	0
HNRNPA1P2	0
TSBP1	0
NOTCH4	19
GPSM3	0
PBX2	20
AGER	8
MIR6833	0
RNF5	9
MIR6721	0
AGPAT1	1
EGFL8	0
PPT2-EGFL8	0
PPT2	0
LOC100507547	1
PRRT1	0
TNXB	1
CYP21A2	0
C4B	0
STK19B	0
TNXA	0
CYP21A1P	1
C4B_2	0
STK19	0
DXO	6
SKIV2L	1
MIR1236	0
NELFE	7
CFB	1
C2-AS1	0
C2	1
LOC107986588	0
EHMT2	0
SLC44A4	2
NEU1	7
VARS1	0
VWA7	0
SAPCD1-AS1	0
SAPCD1	0
RNU6-850P	0
MSH5	0
MSH5-SAPCD1	0
LOC105375020	0
CLIC1	0
DDAH2	1
MPIG6B	0
LY6G6C	0
LY6G6D	0
LY6G6E	0
