Geneid	RNA STAR on data 13, data 25, and data 24: mapped.bam
TRNP	272
TRNT	0
CYTB	17173
TRNE	1
ND6	7446
ND5	9671
TRNL2	7
TRNS2	8
TRNH	1
ND4	41412
ND4L	3405
TRNR	0
ND3	15200
TRNG	0
COX3	24186
ATP6	20816
ATP8	2413
TRNK	45
COX2	26831
TRND	0
TRNS1	1
COX1	65190
TRNY	13
TRNC	185
TRNN	126
TRNA	0
TRNW	0
ND2	20332
TRNM	3
TRNQ	0
TRNI	0
ND1	23669
TRNL1	2
RNR2	434514
TRNV	3
RNR1	152426
TRNF	3
LILRP2	0
KIR3DL3	0
KIR2DS2	0
KIR2DL2	0
KIR2DL4	0
KIR3DS1	0
KIR2DL5A	0
KIR2DS5	0
KIR2DS1	0
KIR3DL2	0
KIR2DL3	0
KIR2DP1	1
LOC101928804	0
KIR2DL1	0
KIR3DP1	0
KIR3DL1	0
KIR2DS4	0
KIR2DL5B	0
RNU6-222P	0
NCR1	2
FCAR	2
LOC102725023	0
KIR2DS3	0
EPS8L1	66
RDH13	0
GP6	0
GP6-AS1	0
RPL36AP50	0
NLRP2	5
NLRP7	8
LILRP1	0
LOC102724290	0
LILRB4	14
VN1R105P	0
MIR8061	0
LILRB1	2
LILRA1	0
LILRA2	2
LOC105372461	0
LOC107985347	0
KIR3DX1	31
LOC105372460	1
LAIR2	1
CDC42EP5	0
LENG9	0
LENG8	0
LENG8-AS1	4
TTYH1	1
LAIR1	25
LILRA4	1
VN1R104P	0
LILRA5	2
LILRA3	0
MIR4752	1
LILRB2	2
LOC100420187	0
LILRB5	1
LOC107987463	0
LILRA6	5
LOC100421130	51
LOC107987462	0
RPS9	49
TSEN34	6
MBOAT7	3
TMC4	1
LENG1	0
LOC102724273	0
CNOT3	5
PRPF31	8
TFPT	4
NDUFA3	0
OSCAR	11
TARM1	2
VSTM1	0
LOC107987461	0
HCG23	0
BTNL2	0
TSBP1-AS1	0
HLA-DRA	1066
LOC102725035	14
LOC112268246	0
ZBTB9	0
MIR5004	0
SYNGAP1	1
CUTA	0
PHF1	34
RPL12P1	1
KIFC1	0
SMIM40	0
RPS18	0
VPS52	2
HCG25	0
LOC105375022	0
ZNF70P1	0
COL11A2	0
HLA-DPB2	0
COL11A2P1	0
HLA-DPA2	0
RPL32P1	0
HLA-DPB1	75
HLA-DPA1	0
HLA-DOA	66
BRD2	93
HLA-DMA	111
HLA-DMB	31
HLA-Z	0
LOC100294145	0
PPP1R2P1	4
PSMB9	2
TAP1	21
PSMB8-AS1	0
PSMB8	54
TAP2	78
HLA-DOB	5
HLA-DQB2	1
MIR3135B	0
HLA-DQA2	10
LOC102725019	0
HLA-DQB1	3092
HLA-DQA1	1014
LOC107987459	0
HLA-DRB1	5644
FAM8A5P	0
HLA-DRB7	1
LOC100294316	0
PRKRAP1	4
HLA-DRB8	0
HLA-DRB4	34
HLA-DRB9	0
RNU6-603P	0
HNRNPA1P2	0
TSBP1	0
NOTCH4	25
GPSM3	1
PBX2	34
AGER	9
MIR6833	0
RNF5	7
MIR6721	0
AGPAT1	15
EGFL8	0
PPT2-EGFL8	0
PPT2	0
LOC100507547	0
PRRT1	1
TNXB	1
CYP21A2	0
C4B	4
STK19B	0
TNXA	0
CYP21A1P	0
C4B_2	0
STK19	0
DXO	2
SKIV2L	1
MIR1236	0
NELFE	8
CFB	8
C2-AS1	0
C2	0
LOC107986588	0
EHMT2	0
SLC44A4	1
