Geneid	RNA STAR on data 248, data 243, and data 242: mapped.bam
TRNP	601
TRNT	2
CYTB	78927
TRNE	0
ND6	12147
ND5	33395
TRNL2	0
TRNS2	1
TRNH	2
ND4	162897
ND4L	9968
TRNR	0
ND3	48062
TRNG	1
COX3	183325
ATP6	82317
ATP8	3569
TRNK	0
COX2	119309
TRND	1
TRNS1	0
COX1	337931
TRNY	17
TRNC	736
TRNN	380
TRNA	0
TRNW	0
ND2	50474
TRNM	0
TRNQ	0
TRNI	0
ND1	45902
TRNL1	34
RNR2	227579
TRNV	0
RNR1	43885
TRNF	0
LILRP2	0
KIR3DL3	0
KIR2DS2	0
KIR2DL2	0
KIR2DL4	2
KIR3DS1	0
KIR2DL5A	0
KIR2DS5	0
KIR2DS1	0
KIR3DL2	0
KIR2DL3	0
KIR2DP1	0
LOC101928804	0
KIR2DL1	0
KIR3DP1	0
KIR3DL1	0
KIR2DS4	0
KIR2DL5B	0
RNU6-222P	0
NCR1	0
FCAR	0
LOC102725023	0
KIR2DS3	0
EPS8L1	1163
RDH13	18
GP6	0
GP6-AS1	0
RPL36AP50	0
NLRP2	11
NLRP7	0
LILRP1	0
LOC102724290	0
LILRB4	20
VN1R105P	0
MIR8061	0
LILRB1	0
LILRA1	0
LILRA2	1
LOC105372461	0
LOC107985347	0
KIR3DX1	0
LOC105372460	0
LAIR2	0
CDC42EP5	0
LENG9	0
LENG8	7
LENG8-AS1	34
TTYH1	1
LAIR1	21
LILRA4	0
VN1R104P	0
LILRA5	0
LILRA3	0
MIR4752	0
LILRB2	4
LOC100420187	0
LILRB5	0
LOC107987463	0
LILRA6	13
LOC100421130	3
LOC107987462	2
RPS9	60
TSEN34	5
MBOAT7	55
TMC4	44
LENG1	1
LOC102724273	0
CNOT3	158
PRPF31	23
TFPT	9
NDUFA3	1
OSCAR	2
TARM1	0
VSTM1	0
LOC107987461	0
HCG23	0
BTNL2	0
TSBP1-AS1	0
HLA-DRA	5222
LOC102725035	0
LOC112268246	0
ZBTB9	6
MIR5004	0
SYNGAP1	6
CUTA	0
PHF1	173
RPL12P1	2
KIFC1	30
SMIM40	0
RPS18	4
VPS52	7
HCG25	0
LOC105375022	0
ZNF70P1	0
COL11A2	0
HLA-DPB2	0
COL11A2P1	0
HLA-DPA2	0
RPL32P1	0
HLA-DPB1	837
HLA-DPA1	0
HLA-DOA	99
BRD2	299
HLA-DMA	678
HLA-DMB	25
HLA-Z	0
LOC100294145	0
PPP1R2P1	0
PSMB9	25
TAP1	11
PSMB8-AS1	0
PSMB8	1
TAP2	216
HLA-DOB	25
HLA-DQB2	34
MIR3135B	0
HLA-DQA2	6
LOC102725019	0
HLA-DQB1	10019
HLA-DQA1	4706
LOC107987459	0
HLA-DRB1	33204
FAM8A5P	0
HLA-DRB7	5
LOC100294316	0
PRKRAP1	9
HLA-DRB8	1
HLA-DRB4	24
HLA-DRB9	0
RNU6-603P	0
HNRNPA1P2	1
TSBP1	0
NOTCH4	1
GPSM3	0
PBX2	14
AGER	4
MIR6833	0
RNF5	46
MIR6721	0
AGPAT1	129
EGFL8	0
PPT2-EGFL8	0
PPT2	0
LOC100507547	2
PRRT1	0
TNXB	2
CYP21A2	13
C4B	2
STK19B	0
TNXA	2
CYP21A1P	5
C4B_2	0
STK19	1
DXO	50
SKIV2L	31
MIR1236	0
NELFE	16
CFB	201
C2-AS1	0
C2	4
