Geneid	RNA STAR on data 38, data 36, and data 35: mapped.bam
TRNP	525
TRNT	9
CYTB	45668
TRNE	24
ND6	28532
ND5	23336
TRNL2	15
TRNS2	2
TRNH	5
ND4	83399
ND4L	2331
TRNR	3
ND3	15721
TRNG	3
COX3	53917
ATP6	52424
ATP8	4319
TRNK	25
COX2	59495
TRND	1
TRNS1	2
COX1	120507
TRNY	29
TRNC	953
TRNN	963
TRNA	0
TRNW	0
ND2	52794
TRNM	3
TRNQ	2
TRNI	2
ND1	45571
TRNL1	45
RNR2	146268
TRNV	7
RNR1	28605
TRNF	1
LILRP2	0
KIR3DL3	0
KIR2DS2	0
KIR2DL2	0
KIR2DL4	0
KIR3DS1	0
KIR2DL5A	0
KIR2DS5	0
KIR2DS1	1
KIR3DL2	0
KIR2DL3	0
KIR2DP1	0
LOC101928804	0
KIR2DL1	0
KIR3DP1	0
KIR3DL1	0
KIR2DS4	0
KIR2DL5B	0
RNU6-222P	1
NCR1	1
FCAR	9
LOC102725023	0
KIR2DS3	0
EPS8L1	280
RDH13	2
GP6	0
GP6-AS1	0
RPL36AP50	0
NLRP2	6
NLRP7	11
LILRP1	0
LOC102724290	0
LILRB4	18
VN1R105P	0
MIR8061	0
LILRB1	39
LILRA1	0
LILRA2	1
LOC105372461	0
LOC107985347	0
KIR3DX1	10
LOC105372460	0
LAIR2	0
CDC42EP5	0
LENG9	0
LENG8	10
LENG8-AS1	5
TTYH1	0
LAIR1	48
LILRA4	0
VN1R104P	0
LILRA5	2
LILRA3	0
MIR4752	0
LILRB2	33
LOC100420187	0
LILRB5	2
LOC107987463	0
LILRA6	118
LOC100421130	11
LOC107987462	50
RPS9	53
TSEN34	6
MBOAT7	54
TMC4	73
LENG1	0
LOC102724273	0
CNOT3	62
PRPF31	3
TFPT	42
NDUFA3	2
OSCAR	255
TARM1	0
VSTM1	1
LOC107987461	0
HCG23	0
BTNL2	0
TSBP1-AS1	1
HLA-DRA	1206
LOC102725035	1
LOC112268246	0
ZBTB9	1
MIR5004	0
SYNGAP1	5
CUTA	0
PHF1	92
RPL12P1	2
KIFC1	1
SMIM40	0
RPS18	0
VPS52	0
HCG25	0
LOC105375022	0
ZNF70P1	0
COL11A2	0
HLA-DPB2	0
COL11A2P1	0
HLA-DPA2	0
RPL32P1	0
HLA-DPB1	2130
HLA-DPA1	2
HLA-DOA	143
BRD2	216
HLA-DMA	12
HLA-DMB	8
HLA-Z	0
LOC100294145	0
PPP1R2P1	5
PSMB9	2
TAP1	3
PSMB8-AS1	0
PSMB8	0
TAP2	2
HLA-DOB	7
HLA-DQB2	7
MIR3135B	0
HLA-DQA2	3
LOC102725019	0
HLA-DQB1	14069
HLA-DQA1	5699
LOC107987459	0
HLA-DRB1	44870
FAM8A5P	0
HLA-DRB7	3
LOC100294316	0
PRKRAP1	6
HLA-DRB8	0
HLA-DRB4	1595
HLA-DRB9	0
RNU6-603P	0
HNRNPA1P2	0
TSBP1	0
NOTCH4	12
GPSM3	0
PBX2	37
AGER	1227
MIR6833	0
RNF5	3
MIR6721	0
AGPAT1	12
EGFL8	0
PPT2-EGFL8	0
PPT2	0
LOC100507547	1
PRRT1	0
TNXB	0
CYP21A2	0
C4B	7
STK19B	0
TNXA	2
CYP21A1P	0
C4B_2	0
STK19	1
DXO	4
SKIV2L	14
MIR1236	0
NELFE	13
CFB	20
C2-AS1	0
C2	0
LOC107986588	0
EHMT2	0
SLC44A4	2
NEU1	3
VARS1	1
VWA7	0
SAPCD1-AS1	0
SAPCD1	0
RNU6-850P	0
MSH5	0
MSH5-SAPCD1	0
LOC105375020	1
CLIC1	0
DDAH2	38
MPIG6B	0
LY6G6C	0
LY6G6D	0
LY6G6E	0
LY6G6F	0
LY6G6F-LY6G6D	0
MIR4646	0
LOC105375018	0
ABHD16A	0
LOC105375019	0
LY6G5C	2
LY6G5B	0
CSNK2B	0
GPANK1	1
C6orf47	0
APOM	0
BAG6	6
MIR6832	0
SNORA38	4
PRRC2A	17
AIF1	0
UQCRHP1	0
NCR3	1
LST1	2
LTB	0
TNF	0
LTA	0
LOC100287329	0
NFKBIL1	4
ATP6V1G2	0
DDX39B-AS1	0
SNORD84	0
SNORD117	0
DDX39B	0
ATP6V1G2-DDX39B	0
MCCD1	0
RPL15P4	1
PPIAP9	0
MICB	3
MICB-DT	1
HCG26	14
HCP5	0
HLA-X	0
LINC01149	1
MICA	190
MICA-AS1	20
LOC105379664	0
MIR6891	0
HLA-B	25407
LINC02571	0
RPL3P2	19
USP8P1	1
HLA-C	29648
HCG27	3
PSORS1C3	3
POU5F1	24
TCF19	9
RNU6-1133P	0
HCG22	0
MUC22	1
LINC00243	2
HCG20	0
RN7SL353P	0
IER3	3
IER3-AS1	0
FLOT1	56
TUBB	436
MDC1-AS1	0
MDC1	2
LOC107987457	0
DHX16	2
C6orf136	1
PTMAP1	1
ATAT1	0
MRPS18B	9
PPP1R10	5
MIR877	0
ABCF1	0
ABCF1-DT	2
PRR3	0
GNL1	0
LINC02569	0
HLA-E	1
RANP1	0
SUCLA2P1	0
LOC105375012	0
MICC	6
UBQLN1P1	0
HLA-N	0
RPP21	0
TRIM39-RPP21	0
TRIM39	0
HCG18	0
HLA-L	3
HCG17	0
PAIP1P1	1
TRIM26	11
TRIM15	0
TRIM10	0
TRIM40	0
TRIM31-AS1	0
TRIM31	0
RNF39	19
PPP1R11	86
POLR1H	23
ETF1P1	0
HLA-J	6
HCG4P3	0
ZNRD1ASP	0
LOC353007	0
MCCD1P2	0
DDX39BP2	0
HCG9	0
HLA-A	12115
HLA-K	65
HCG4B	2
DDX39BP1	0
HLA-H	372
HCP5B	0
LOC105375010	1
HCGVIII-2	0
HLA-G	6
MICG	0
RPL7AP7	0
HLA-P	0
HCG4P9	0
HLA-V	1
HCG4	0
LOC353010	0
LOC105379663	0
IFITM4P	1
MICE	6
HLA-F-AS1	3
HLA-F	434
ZDHHC20P1	1
ZFP57	7
MOG	3
SUMO2P1	0
GABBR1	12
OR2I1P	1
GPR53P	0
LINC01015	0
LINC02829	0
RPS17P1	0
MAS1L	0
LOC105375008	0
MAS1LP1	0
UBDP1	0
OR2H1	1
LOC105379641	0
OR10C1	0
OR11A1	0
OR12D1	0
OR12D2	0
OR12D3	0
OR5V1	0
DDX6P1	0
OR14J1	0
OR2B4P	0
LOC105375005	0
OR2U2P	0
OR2U1P	0
OR2G1P	0
LOC101929006	0
OR2H4P	0
OR2J4P	0
OR2J2	0
OR2N1P	0
OR2J3	2
OR2J1	0
OR2B3	0
SAR1AP1	0
OR2P1P	0
OR2W1	0
LOC100129636	0
OR2AD1P	0
LOC105375002	0
ZNF311	1
TRL-AAG3-1	0
HCG15	1
TRE-CTC1-6	0
TRF-GAA1-2	0
RN7SL471P	0
KRT18P1	0
TRM-CAT3-2	0
TRK-TTT3-3	0
TRM-CAT3-1	0
LINC01556	1
TRL-AAG2-2	0
TRQ-CTG1-3	0
TRL-CAA1-2	0
RNU6-930P	0
TRIM27	0
HCG14	0
TRL-CAA1-1	0
ZNF90P2	0
TRR-CCG1-2	0
TRA-AGC2-2	0
RPL13P	0
LINC01623	0
TRA-AGC2-1	0
TRF-GAA4-1	0
TRA-TGC5-1	0
TRF-GAA3-1	2
TRA-TGC7-1	0
TRA-AGC1-1	0
TRF-GAA1-1	6
TRA-TGC1-1	0
NOP56P1	0
TRA-AGC23-1	0
TRA-TGC6-1	0
TRK-TTT7-1	0
TRR-CCG1-1	2
RPSAP2	4
TRA-CGC4-1	0
TRF-GAA11-1	0
TRT-AGT3-1	0
TRA-AGC7-1	0
TRA-CGC5-1	0
TRK-TTT13-1	0
LOC100288016	0
LOC105374297	0
LOC105374298	0
SDHAP2	0
MIR570	0
SMBD1P	55
MIR570HG	0
MUC20	5
MUC4	49
LOC112268340	0
LYPLA2P1	3
MYL12BP3	0
DAXX	12
ZBTB22	0
TAPBP	7
RGL2	10
MIR6834	0
PFDN6	0
MIR6873	0
WDR46	1
B3GALT4	0
RING1	0
MIR219A1	0
HSD17B8	0
SLC39A7	0
RNY4P10	0
RXRB	3
HCG24	0
LOC105375021	0
RNU1-116P	0
HLA-DRB2	0
HLA-DRB3	11
LOC105379657	0
RNA5SP206	2
C4A	37
ZBTB12	0
SNORD52	0
SNORD48	0
SNHG32	4
HSPA1B	222
HSPA1A	263
HSPA1L	1
LSM2	2
LOC105379656	0
DHFRP2	3
CCHCR1	61
POLR2LP1	0
PSORS1C2	0
CDSN	44
PSORS1C1	2
C6orf15	0
MUC21	1
NAPGP2	0
HCG21	0
MUCL3	12
SFTA2	1552
VARS2	61
GTF2H4	33
MIR4640	0
DDR1	423
LINC02570	0
RPL7P4	0
NRM	0
PPP1R18	3
TRIM26BP	1
MICD	2
HLA-W	0
MICF	0
LOC107987452	0
RPL23AP1	0
HCG4P11	1
OR2H2	0
RPL13AP	0
SNORD32B	0
TMEM183AP1	0
OR2H5P	0
UBD	0
TRV-AAC6-1	0
LOC112268339	0
LOC112268337	0
HLA-DQB1-AS1	56
LOC107987449	0
FKBPL	2
ATF6B	27
LOC110384692	0
LOC112267902	4
WASF5P	0
LOC107987448	0
HCG4P8	0
LOC107987447	0
HCG9P5	0
LOC112268336	0
LOC100294188	0
LOC112268335	3
HLA-S	0
ZDHHC20P2	0
RN7SKP186	0
TMPOP1	0
LOC107987443	0
TCF20	10
CYP2D8P	0
CYP2D7	9
LOC112268333	0
LOC102723722	1
CYP2D6	3
LOC105373047	0
OLA1P1	0
NDUFA6-DT	1
NDUFA6	0
SMDT1	0
PHETA2	20
LOC112268334	0
MUC2	1
LOC107987157	0
LINC02688	0
MUC6	1
AP2A2	200
RNU6-1025P	0
LOC105377779	0
MIR3674	0
CLN8	0
CLN8-AS1	0
LOC100130321	0
LOC105377778	0
DLGAP2	0
DLGAP2-AS1	0
HLA-DPA3	0
LOC112267927	0
LOC100294160	0
LOC107987440	0
LINC01596	0
LOC105377619	2
FRG1-DT	0
RNU1-51P	0
LOC105377616	0
LOC107987311	0
LINC01262	0
LOC105377615	0
HSP90AA4P	0
LOC105377614	0
KRT18P53	0
FABP5P13	0
LOC102723840	0
PPP2R3B	18
LOC101929829	0
LOC107987438	0
LOC107987441	0
LOC105372225	0
SALL3	6
LINC01896	0
LOC105372221	0
LOC105372220	0
LOC105372219	0
WNT9B	0
LOC101929777	0
WNT3	2
RPS7P11	9
LOC107985026	0
NSF	4
FAM215B	5
RN7SL199P	2
LRRC37A2	17
ARL17A	26
RDM1P2	1
LOC100132570	1
DND1P2	0
MAPK8IP1P1	0
KANSL1-AS1	0
LOC107985027	3
KANSL1	13
STH	0
LOC105371800	0
MAPT-IT1	0
MAPT	4
SPPL2C	0
MAPT-AS1	0
CRHR1	0
LOC107985028	0
LOC105371802	0
ARF2P	0
LINC02210-CRHR1	0
LINC02210	0
RPS26P8	15
MAPK8IP1P2	3
LOC105376839	0
DND1P1	0
RDM1P1	0
LOC102724345	2
LRRC37A4P	1
LOC112267925	0
LRRC37A3	27
