Geneid	RNA STAR on data 248, data 246, and data 245: mapped.bam
TRNP	1511
TRNT	34
CYTB	110767
TRNE	69
ND6	44645
ND5	107341
TRNL2	3
TRNS2	4
TRNH	2
ND4	230708
ND4L	22449
TRNR	13
ND3	55267
TRNG	3
COX3	166805
ATP6	106397
ATP8	7058
TRNK	4
COX2	107925
TRND	0
TRNS1	1
COX1	397270
TRNY	112
TRNC	2257
TRNN	1471
TRNA	1
TRNW	7
ND2	128103
TRNM	3
TRNQ	4
TRNI	3
ND1	122633
TRNL1	160
RNR2	209731
TRNV	7
RNR1	24144
TRNF	2
LILRP2	0
KIR3DL3	0
KIR2DS2	0
KIR2DL2	0
KIR2DL4	0
KIR3DS1	0
KIR2DL5A	0
KIR2DS5	0
KIR2DS1	0
KIR3DL2	0
KIR2DL3	0
KIR2DP1	0
LOC101928804	0
KIR2DL1	0
KIR3DP1	0
KIR3DL1	1
KIR2DS4	0
KIR2DL5B	0
RNU6-222P	0
NCR1	0
FCAR	3
LOC102725023	0
KIR2DS3	0
EPS8L1	527
RDH13	3
GP6	0
GP6-AS1	0
RPL36AP50	0
NLRP2	39
NLRP7	0
LILRP1	0
LOC102724290	0
LILRB4	37
VN1R105P	0
MIR8061	0
LILRB1	27
LILRA1	0
LILRA2	0
LOC105372461	0
LOC107985347	0
KIR3DX1	0
LOC105372460	0
LAIR2	0
CDC42EP5	0
LENG9	0
LENG8	17
LENG8-AS1	10
TTYH1	0
LAIR1	71
LILRA4	1
VN1R104P	0
LILRA5	0
LILRA3	0
MIR4752	0
LILRB2	31
LOC100420187	0
LILRB5	1
LOC107987463	0
LILRA6	66
LOC100421130	1
LOC107987462	29
RPS9	38
TSEN34	2
MBOAT7	39
TMC4	31
LENG1	1
LOC102724273	0
CNOT3	76
PRPF31	7
TFPT	21
NDUFA3	0
OSCAR	6
TARM1	0
VSTM1	0
LOC107987461	0
HCG23	5
BTNL2	0
TSBP1-AS1	0
HLA-DRA	9199
LOC102725035	2
LOC112268246	0
ZBTB9	11
MIR5004	0
SYNGAP1	40
CUTA	0
PHF1	156
RPL12P1	0
KIFC1	2
SMIM40	0
RPS18	3
VPS52	7
HCG25	0
LOC105375022	0
ZNF70P1	0
COL11A2	0
HLA-DPB2	0
COL11A2P1	0
HLA-DPA2	0
RPL32P1	0
HLA-DPB1	1307
HLA-DPA1	1
HLA-DOA	115
BRD2	206
HLA-DMA	485
HLA-DMB	24
HLA-Z	0
LOC100294145	1
PPP1R2P1	0
PSMB9	11
TAP1	6
PSMB8-AS1	0
PSMB8	1
TAP2	167
HLA-DOB	4
HLA-DQB2	15
MIR3135B	0
HLA-DQA2	0
LOC102725019	0
HLA-DQB1	13496
HLA-DQA1	7640
LOC107987459	0
HLA-DRB1	27889
FAM8A5P	0
HLA-DRB7	4
LOC100294316	0
PRKRAP1	20
HLA-DRB8	1
HLA-DRB4	36
HLA-DRB9	0
RNU6-603P	0
HNRNPA1P2	0
TSBP1	0
NOTCH4	16
GPSM3	1
PBX2	26
AGER	3
MIR6833	0
RNF5	14
MIR6721	0
AGPAT1	74
EGFL8	0
PPT2-EGFL8	0
PPT2	0
LOC100507547	0
PRRT1	1
TNXB	0
CYP21A2	1
C4B	1
STK19B	0
TNXA	0
CYP21A1P	1
C4B_2	0
STK19	1
DXO	18
SKIV2L	10
MIR1236	0
NELFE	23
CFB	131
C2-AS1	0
C2	2
LOC107986588	0
EHMT2	0
SLC44A4	12
NEU1	6
VARS1	10
VWA7	1
SAPCD1-AS1	0
SAPCD1	0
RNU6-850P	0
MSH5	0
MSH5-SAPCD1	0
LOC105375020	1
CLIC1	0
DDAH2	5
MPIG6B	0
LY6G6C	3
LY6G6D	0
LY6G6E	0
LY6G6F	0
LY6G6F-LY6G6D	0
MIR4646	0
LOC105375018	0
ABHD16A	0
LOC105375019	0
LY6G5C	1
LY6G5B	15
CSNK2B	81
GPANK1	3
C6orf47	3
APOM	0
BAG6	10
MIR6832	0
SNORA38	0
PRRC2A	114
AIF1	12
UQCRHP1	0
NCR3	0
LST1	0
LTB	0
TNF	0
LTA	0
LOC100287329	0
NFKBIL1	2
ATP6V1G2	0
DDX39B-AS1	0
SNORD84	0
SNORD117	0
DDX39B	0
ATP6V1G2-DDX39B	0
MCCD1	0
RPL15P4	0
PPIAP9	0
MICB	14
MICB-DT	8
HCG26	0
HCP5	1
HLA-X	0
LINC01149	1
MICA	316
MICA-AS1	36
LOC105379664	0
MIR6891	0
HLA-B	23874
LINC02571	0
RPL3P2	86
USP8P1	1
HLA-C	27371
HCG27	2
PSORS1C3	3
POU5F1	19
TCF19	28
RNU6-1133P	0
HCG22	0
MUC22	0
LINC00243	0
HCG20	0
RN7SL353P	0
IER3	1
IER3-AS1	0
FLOT1	81
TUBB	353
MDC1-AS1	0
MDC1	15
LOC107987457	0
DHX16	2
C6orf136	7
PTMAP1	0
ATAT1	0
MRPS18B	20
PPP1R10	0
MIR877	0
ABCF1	0
ABCF1-DT	0
PRR3	0
GNL1	0
LINC02569	0
HLA-E	0
RANP1	0
SUCLA2P1	0
LOC105375012	0
MICC	0
UBQLN1P1	0
HLA-N	0
RPP21	0
TRIM39-RPP21	0
TRIM39	1
HCG18	189
HLA-L	8
HCG17	1
PAIP1P1	0
TRIM26	38
TRIM15	0
TRIM10	0
TRIM40	0
TRIM31-AS1	3
TRIM31	12
RNF39	68
PPP1R11	348
POLR1H	65
ETF1P1	0
HLA-J	31
HCG4P3	9
ZNRD1ASP	77
LOC353007	0
MCCD1P2	0
DDX39BP2	0
HCG9	4
HLA-A	8514
HLA-K	141
HCG4B	1
DDX39BP1	0
HLA-H	53
HCP5B	1
LOC105375010	0
HCGVIII-2	0
HLA-G	4
MICG	0
RPL7AP7	0
HLA-P	0
HCG4P9	0
HLA-V	1
HCG4	0
LOC353010	0
LOC105379663	0
IFITM4P	4
MICE	13
HLA-F-AS1	11
HLA-F	34
ZDHHC20P1	2
ZFP57	4
MOG	0
SUMO2P1	5
GABBR1	12
OR2I1P	0
GPR53P	0
LINC01015	0
LINC02829	6
RPS17P1	0
MAS1L	0
LOC105375008	0
MAS1LP1	0
UBDP1	0
OR2H1	0
LOC105379641	0
OR10C1	0
OR11A1	0
OR12D1	0
OR12D2	0
OR12D3	0
OR5V1	0
DDX6P1	0
OR14J1	0
OR2B4P	0
LOC105375005	0
OR2U2P	0
OR2U1P	0
OR2G1P	0
