Geneid	RNA STAR on data 9, data 25, and data 24: mapped.bam
TRNP	459
TRNT	0
CYTB	29880
TRNE	4
ND6	13259
ND5	13558
TRNL2	14
TRNS2	13
TRNH	1
ND4	73450
ND4L	2785
TRNR	4
ND3	28062
TRNG	0
COX3	55350
ATP6	43000
ATP8	3075
TRNK	34
COX2	70996
TRND	1
TRNS1	2
COX1	138801
TRNY	7
TRNC	506
TRNN	389
TRNA	1
TRNW	1
ND2	24986
TRNM	0
TRNQ	3
TRNI	0
ND1	35035
TRNL1	12
RNR2	87057
TRNV	0
RNR1	12046
TRNF	1
LILRP2	0
KIR3DL3	0
KIR2DS2	0
KIR2DL2	0
KIR2DL4	0
KIR3DS1	0
KIR2DL5A	0
KIR2DS5	0
KIR2DS1	0
KIR3DL2	0
KIR2DL3	0
KIR2DP1	1
LOC101928804	0
KIR2DL1	0
KIR3DP1	0
KIR3DL1	0
KIR2DS4	0
KIR2DL5B	0
RNU6-222P	1
NCR1	0
FCAR	1
LOC102725023	0
KIR2DS3	0
EPS8L1	697
RDH13	0
GP6	0
GP6-AS1	0
RPL36AP50	0
NLRP2	2
NLRP7	13
LILRP1	0
LOC102724290	0
LILRB4	12
VN1R105P	0
MIR8061	0
LILRB1	1
LILRA1	0
LILRA2	0
LOC105372461	0
LOC107985347	0
KIR3DX1	15
LOC105372460	0
LAIR2	0
CDC42EP5	2
LENG9	0
LENG8	0
LENG8-AS1	2
TTYH1	0
LAIR1	35
LILRA4	1
VN1R104P	0
LILRA5	1
LILRA3	0
MIR4752	1
LILRB2	6
LOC100420187	0
LILRB5	5
LOC107987463	0
LILRA6	0
LOC100421130	9
LOC107987462	0
RPS9	98
TSEN34	4
MBOAT7	17
TMC4	28
LENG1	0
LOC102724273	0
CNOT3	24
PRPF31	3
TFPT	13
NDUFA3	0
OSCAR	14
TARM1	0
VSTM1	0
LOC107987461	0
HCG23	0
BTNL2	0
TSBP1-AS1	1
HLA-DRA	1289
LOC102725035	2
LOC112268246	0
ZBTB9	2
MIR5004	0
SYNGAP1	0
CUTA	0
PHF1	49
RPL12P1	2
KIFC1	1
SMIM40	0
RPS18	6
VPS52	5
HCG25	0
LOC105375022	1
ZNF70P1	0
COL11A2	0
HLA-DPB2	0
COL11A2P1	0
HLA-DPA2	1
RPL32P1	3
HLA-DPB1	1968
HLA-DPA1	15
HLA-DOA	50
BRD2	38
HLA-DMA	100
HLA-DMB	34
HLA-Z	0
LOC100294145	0
PPP1R2P1	6
PSMB9	2
TAP1	0
PSMB8-AS1	0
PSMB8	0
TAP2	1
HLA-DOB	1
HLA-DQB2	7
MIR3135B	0
HLA-DQA2	1
LOC102725019	0
HLA-DQB1	1686
HLA-DQA1	1379
LOC107987459	0
HLA-DRB1	3703
FAM8A5P	0
HLA-DRB7	1
LOC100294316	0
PRKRAP1	7
HLA-DRB8	0
