Geneid	RNA STAR on data 9, data 28, and data 27: mapped.bam
TRNP	337
TRNT	0
CYTB	28357
TRNE	13
ND6	13589
ND5	12223
TRNL2	23
TRNS2	8
TRNH	1
ND4	51793
ND4L	2308
TRNR	4
ND3	21175
TRNG	0
COX3	33055
ATP6	29570
ATP8	2047
TRNK	31
COX2	41042
TRND	3
TRNS1	1
COX1	65919
TRNY	11
TRNC	406
TRNN	305
TRNA	0
TRNW	0
ND2	24195
TRNM	0
TRNQ	1
TRNI	2
ND1	33723
TRNL1	4
RNR2	79024
TRNV	0
RNR1	12413
TRNF	5
LILRP2	0
KIR3DL3	0
KIR2DS2	0
KIR2DL2	0
KIR2DL4	0
KIR3DS1	0
KIR2DL5A	0
KIR2DS5	0
KIR2DS1	0
KIR3DL2	0
KIR2DL3	0
KIR2DP1	0
LOC101928804	0
KIR2DL1	0
KIR3DP1	0
KIR3DL1	1
KIR2DS4	0
KIR2DL5B	0
RNU6-222P	4
NCR1	2
FCAR	0
LOC102725023	0
KIR2DS3	0
EPS8L1	420
RDH13	2
GP6	0
GP6-AS1	0
RPL36AP50	0
NLRP2	1
NLRP7	24
LILRP1	0
LOC102724290	0
LILRB4	1
VN1R105P	0
MIR8061	0
LILRB1	5
LILRA1	3
LILRA2	2
LOC105372461	0
LOC107985347	0
KIR3DX1	13
LOC105372460	0
LAIR2	0
CDC42EP5	0
LENG9	0
LENG8	3
LENG8-AS1	3
TTYH1	0
LAIR1	69
LILRA4	4
VN1R104P	0
LILRA5	2
LILRA3	0
MIR4752	1
LILRB2	8
LOC100420187	0
LILRB5	4
LOC107987463	0
LILRA6	5
LOC100421130	14
LOC107987462	0
RPS9	70
TSEN34	2
MBOAT7	18
TMC4	14
LENG1	0
LOC102724273	0
CNOT3	14
PRPF31	3
TFPT	8
NDUFA3	0
OSCAR	37
TARM1	1
VSTM1	0
LOC107987461	0
HCG23	3
BTNL2	0
TSBP1-AS1	0
HLA-DRA	3106
LOC102725035	8
LOC112268246	0
ZBTB9	0
MIR5004	0
SYNGAP1	0
CUTA	0
PHF1	108
RPL12P1	0
KIFC1	0
SMIM40	0
RPS18	0
VPS52	7
HCG25	0
LOC105375022	0
ZNF70P1	0
COL11A2	0
HLA-DPB2	0
COL11A2P1	0
HLA-DPA2	2
RPL32P1	0
HLA-DPB1	4086
HLA-DPA1	24
HLA-DOA	113
BRD2	79
HLA-DMA	184
HLA-DMB	57
HLA-Z	0
LOC100294145	0
PPP1R2P1	5
PSMB9	3
TAP1	0
PSMB8-AS1	0
PSMB8	1
TAP2	2
